id,product,narrative
0,credit_card,forwarded message date tue subject please investigate comenity bank retailer card scam sent hello name scammed comenity bank credit card provider company childrens place new york forever victoria secret original credit comenity bank lower limit began charge overage fee along late fee began pay close attention card find limit also changed well incurring overage late fee reached company comenity bank stated would change credit limit original limit reached told summit payment account corrected comenity bank credit card impacted credit score plummeted negative status im currently paying price due corruption affected detrimental way debt due company charging overage fee well late fee even initial credit limit fluctuating tremendously company charge major fee account willing correct account nervous said attorney reason im reaching im employee company ruining credit plz help name contact info thank
1,credit_card,american express reduced credit limit without valid justification advance notification spoke rep stated reason credit limit reduction due increase balance true based credit report provided american express rather reduction balance accts shown rep changed position stating decision made due balance american express account increased yet available credit remains stated took advantage promotional rate american express offered reason paying significant amount towards balance also always maintained good standing account american express failed access credit card member decided looking american express account proper way ass someone credit worthiness cfpb financial regulator encouraged financial institution help work customer meet need around urgent situation american express business practice reflect effort instead helping working card member american express chose create hardship knowing may bring financial uncertainty many member could experience loss income due illness workplace closure also spoke supervisor rep could provide valid reason could help lack knowledge lack customer handling skill also failed deliver fact proper training urgently needed many large financial institution diligently customer going tough time american express chose rather create hardship customer given urgent situation
2,credit_card,regarding assertion informed record promotion pnc ongoing promotion order qualify pnc promotion application must submitted using link associated offer website stated previous response application submitted promotion offered time first regarding assertion informed record promotion um informed record promotion previous response record show time application pnc record bonus offer presented yeah second want talk assertion assertion correct rest gang executive relation team really seem maintain assertion time application pnc record bonus offer presented well due foolishly releasing new information ongoing promotion basically ratted others lying regarding assertion last month promotion going thank admitting ongoing promotion sreenshots attached show credit karma since even opened account pnc also receiving email well clearly save think ever needed reason kept every little email receive inbox would overwhelming thank refreshing memory found promotional offer regarding colleague assertion application submitted prove ca required credit account accordingly per udaap doddfrank wall street reform consumer protection act collegues previously told phone needed show email bonus promised expected prove submitted application email sorry nothing email stating warning screenshot email pnc may keep promise giving pnc however need show proof promotional offer time application customer make claim month finally admitted fact offer time already shown capable lying need show proof submit application via people wrong offered bonus via credit monitoring service reel took away worse lied ever offering called advertising accordance udaap doddfrank wall street reform consumer protection act
3,credit_card,conducted another investigation based new complaint submission able confirm time transaction question card possession respectfully declining request permanent first respectfully anything secondly able confirm card possession ground responded time regarding issue time gave extremely vague answer thus far given supporting documentation back allegation claim conducted investigation yet investigation include document proving cardholder owes money law able request copy said document disrespectfully decline refusal request permanent credit furthermore report account credit reporting company delinquent pay report also must state think owe money must notify get report also must promptly report subsequent resolution reported delinquency everyone got report close account asap want nothing dirty rotten people
4,credit_card,complaint submitted two month ago american express provide address customer service refused info many request submitted telephone number cfpb sufficient forget send message american express resolve issue
5,credit_reporting,va date complaint experian credit bureau involved decision maker stop cease retaliation discrimination abuse american taxpayer today experian blocked accessing free annual credit report adding restrictive discriminatory condition specifically many proof support fact subjected retaliatory adverse action experian credit bureau allowing participating causing damage financial reputation experian causing severe emotional distress experian impeded ability review credit report therefore anything negative report damage caused full legal responsibility liability experian excuse justify restriction website called condition experian put place experian experian involved decision maker must stop retaliation must pay huge legal consequence illegal act american taxpayer cfpb shall investigate experian unlawful practice reported cfpb several time past year reference experian credit report one previous year year several incorrect information experian insisted keep file within credit bureau named experian experian intent damage financial reputation fact proven fact damage already experian caused mu person please note experian response legal complaint used experian involved decision maker time court law stated herein current state belief knowledge understanding subject correction change kind time legal representative without waiving right circumstance digitally signed filed today within cfpb
6,credit_reporting,collection account acct opened balance account acct opened balance account
7,credit_reporting,got multiple account denial citing lexisnexis report ordering nexislexis report since never received copy disclosure recently month requested report paper application form submitted following inquiry lexis nexis informed mailed link download file however never received document consistent experience lexis nexis never received anything followed lexis nexis refused look file customer service agent constantly put inquiry loop request followed never sent paper work lexisnexis ignored complaint cold without consumer report right information violated severely company ca even get bank account us lexisnexis system
8,credit_reporting,name last four s xxxxmy account number writing dispute late payment reported kohl impacted hospital long time lost job spoke kohl advised payment deferred get credit alert reported past due violation care act late payment need removed pay account full correct credit report remove erroinious late fee told provided protection care act failed adhere offered one called kohl received written notice term deferred plan rely rep told thought protected kohl need make right comply care act fix credit reporting remove late fee call done account negative told going forebarace would put account credit limit illegal credit ruined udapp violation care act violation
9,credit_reporting,entered settlement agreement behalf client credit card issuer see attached letter paid settlement amount full received notification account settled full see attached letter amount settlement withdrawn bank account via see attached bank statement sent letter account settled full additional charge due see attached letter sent amount debt discharged irs see attached form still reporting credit bureau delinquent account still owed discharged amount lodged dispute equifax denied see dispute attached point time paid month ago yet still report owing deliquent thus affecting credit
10,credit_reporting,credit pulled lender preparation buying home upon conducting credit inquiry lender informed derogatory remark credit citi bank charge card transaction airfare billeting responsible called citi bank call duration called citi bank inquire derogatory remark confirmed address stated would send aware document trying find resolve issue never sent documentation previously called citi bank call duration called citi bank inquire could resolve lender informed similar filing bankruptcy singular basis one specific debt result derogatory remark one credit called citi bank call duration called citi bank asked speak fraud department told calling notify needed help disputing fixing inaccurate derogatory remark credit person spoke told responsibility refused allow dispute asked speak supervisor said would manager call back within missed call citi bank fraud department called citi bank call duration called citi bank back spoke representative name told would fraud dept manager call back within hour citi bank called duration fraud dept called back informed manager would calling back recovery dept matter provided recovery dept information called citi bank call duration called recovery dept spoke recovery dept representative sp notify disputing needed help removing inaccurate derogatory remark credit history rude uncooperative specifically told citi bank would help resolve matter asked supervisor transferred supervisor named claimed employee number also conveniently current home residence apartment number claimed correct protocol contacting citi bank regarding matter already sent would need contact three credit bureau directly notified multiple time formally disputing responsibility fraudulent credit reporting resulting derogatory remark told would anything would open investigation asked supervisor informed would call back within incoming call call duration spoke employee id told help already issued explained due matter irs despite never financial responsibility begin
11,credit_reporting,hello name trying reach several time get problem fixed receipted response far wrong adresses employment information exist credit account year addition also derogatory information appear credit report belong business address employment information need removed info priority expedite reported ar ar
12,credit_reporting,shocked reviewed credit report found late payment date wfds
13,credit_reporting,continue refresh outdated account old account violates fdcpa fcba cra vilates section account
14,credit_reporting,name trying make change credit report since saw incorrect information address employment information information belong relation tight business see really capable bad effect credit report demand false information change name address employment information need removed immediately info address reported wa wa
15,credit_reporting,attached first qualified written request qwr item required select portfolio servicing sps prove standing collect mortgage payment without proving spss standing sps illegally accessed credit report false pretext invading pr ivacy fcra sps collecting money via escrow account yet refused pay property insurance since corrupt company u servicing mortgage loan customer feedback sps main business goal fradulently foreclose seize people home
